word,count
described,50
hollow,50
humour,50
lest,50
lines,50
market,50
enemy,50
drops,50
faded,50
heap,50
rid,50
receiving,50
reach,50
seeming,50
seized,50
sad,50
nearest,50
plenty,50
prove,50
winter,50
train,50
stretched,50
straw,50
travellers,50
unconscious,50
departed,49
committed,49
contents,49
crept,49
antoine,49
avoid,49
boy's,49
brief,49
cat,49
grief,49
fat,49
flower,49
driven,49
lively,49
hurriedly,49
horrible,49
inclination,49
proof,49
prospect,49
raise,49
profound,49
narrative,49
mighty,49
monday,49
saved,49
sensation,49
remarks,49
shakes,49
shed,49
wicked,49
wery,49
support,49
thoughtful,49
they're,49
tartar,49
yielded,49
catching,48
casting,48
buy,48
bowed,48
billickin,48
appeal,48
alarmed,48
announced,48
amazement,48
allowed,48
companions,48
departure,48
dining,48
drawing-room,48
indifference,48
horror,48
interesting,48
lightly,48
landless,48
drunk,48
energy,48
enjoyment,48
haven't,48
smooth,48
sorrow,48
scrooge's,48
sacred,48
mistaken,48
message,48
mender,48
murmured,48
north,48
notion,48
proceed,48
proceedings,48
protection,48
thankful,48
toast,48
suppressed,48
walks,48
directions,47
determination,47
deserted,47
derived,47
compeyson,47
concluded,47
alarm,47
approach,47
attempt,47
brings,47
brothers,47
burnt,47
cavalletto,47
gown,47
grand,47
gloom,47
frequently,47
entrance,47
east,47
earnestness,47
echoes,47
fever,47
fetch,47
fate,47
exhausted,47
later,47
hopeless,47
hopeful,47
hint,47
proposal,47
rapid,47
rang,47
police,47
pausing,47
peepy,47
mentioning,47
senses,47
refer,47
speed,47
slightly,47
shaken,47
shore,47
shock,47
who's,47
suffering,47
torn,47
system,47
you'd,47
cart,46
bedroom,46
attracted,46
astonished,46
compliment,46
counsel,46
day's,46
dame,46
daniel,46
deportment,46
description,46
honoured,46
manners,46
mankind,46
expressing,46
features,46
feeble,46
fly,46
evremonde,46
gravity,46
group,46
hammer,46
he'd,46
shillings,46
ride,46
resolution,46
repeating,46
services,46
moral,46
painted,46
park,46
patience,46
politeness,46
picked,46
pillow,46
poured,46
preparation,46
preparations,46
you’re,46
wisdom,46
tobacco,46
stream,46
waste,46
weary,46
wake,46
uncomfortable,46
cousins,45
clouds,45
attendant,45
bazzard,45
absent,45
blame,45
hence,45
falls,45
fancied,45
faced,45
expectations,45
limited,45
likeness,45
humble,45
isn't,45
lad,45
race,45
pull,45
passenger,45
parties,45
perceived,45
notwithstanding,45
openly,45
movement,45
mercy,45
messenger,45
settle,45
seldom,45
reserved,45
reflected,45
regarding,45
regret,45
readily,45
sleeping,45
snuff,45
special,45
stated,45
tope,45
taught,45
wise,45
willing,45
big,44
bestowed,44
brick,44
accordingly,44
barsad,44
assured,44
arrangements,44
appointment,44
class,44
convict,44
