display_term,occurrence_count,key
turning,85,Little Dorrit
husband,84,A Tale of Two Cities
hope,84,A Tale of Two Cities
inn,84,Bleak House
fellow,84,Bleak House
figure,84,Little Dorrit
em,84,Oliver Twist
beadle,84,Oliver Twist
christmas,84,A Christmas Carol
mentioned,84,Bleak House
life,84,The Mystery of Edwin Drood
lips,84,Little Dorrit
shut,84,Little Dorrit
voice,84,A Tale of Two Cities
spirit,84,A Christmas Carol
london,83,Bleak House
let,83,The Mystery of Edwin Drood
minor,83,The Mystery of Edwin Drood
morning,83,Great Expectations
put,83,The Mystery of Edwin Drood
care,83,Bleak House
allan,83,Bleak House
evening,83,Little Dorrit
give,83,Oliver Twist
that's,83,Great Expectations
home,82,Oliver Twist
